Мука картофельная (крахмал),200,30,10,-
Мука пшеничная,160,20,8,-
Мука кукурузная,160,35,15,-
Панировочные сухари,125,15,5,-
Крупа гречневая,210,25,7,-
Крупа перловая,230,25,8,-
"Крупа ""Геркулес""",90,12,-,-
Крупа манная,200,25,8,-
Крупа ячневая (ячмень),180,20,7,-
Хлопья овсяные,110,15,5,-
Хлопья кукурузные,55,15,3,-
Хлопья пшеничные,-,10,3,-
Горох лущеный,230,25,10,-
Горох не лущеный,200,-,-,-
Рис,230,25,9,-
Пшено,220,25,8,-
Саго,180,20,7,-
Толокно,140,22,7,-
Макароны,100,-,-,-
Фасоль,220,-,-,-
Молоко цельное,250,20,5,-
Молоко сгущеное,-,30,12,-
Молоко сухое,120,20,5,-
Простокваша,250,18,5,-
Сливки 20%,250,18,5,-
Сметана 10%,250,20,9,-
Сметана 30%,250,15,11,-
Творог жирный,-,17,5,-
Творог не жирный,-,20,7,-
Майонез,-,15,4,-
Масло топленое,245,20,5,-
Масло сливочное,210,40,15,-
Масло растительное,240,20,50,-
Маргарин,-,25,10,-
Маргарин растопленный,230,14,4,-
Смалец,230,60,-,-
Смалец растопленный,230,30,8,-
Яйцо большое,-,-,-,60
Яйцо среднее,-,-,-,53
Яйцо малое,-,-,-,43
Яичный желток,-,-,-,20
Яичный белок,-,-,-,30
Яичный порошок,185,25,8,-
Картофель средний,-,-,-,85
Капуста (средний кочан),-,-,-,1500
Лук репчатый средний,-,-,-,50
Морковь средняя,-,-,-,75
Огурец средний,-,-,-,100
Помидор средний,-,-,-,100
Свекла средняя,-,-,-,65
Чечевица,210,-,-,-
Абрикос,-,-,-,28
Апельсин,-,-,-,155
Банан,-,-,-,78
Брусника,145,-,-,-
Вишня,185,30,-,-
Голубика,255,-,-,-
Груша,-,-,-,135
Ежевика,190,-,-,-
Клубника,155,25,-,-
Клюква,150,-,-,-
Крыжовник,210,-,-,-
Лимон,-,-,-,62
Малина,170,25,-,-
Персик,-,-,-,83
Слива,-,-,-,32
Смородина красная,175,-,-,-
Смородина черная,155,-,-,-
Черешня,160,-,-,-
Черника,200,-,-,-
Яблоко (маленькое),-,-,-,90
Яблоко (среднее),-,-,-,140
Яблоко (большое),-,-,-,200
Сахар прессованный,-,-,-,8
Сахар,200,30,12,-
Сахарная пудра,185,25,8,-
Соль,325,30,10,-
Питьевая сода,-,25,10,-
Мед,325,20,-,-
Варенье,325,50,15,-
Джем,-,40,15,-
Повидло,-,35,10,-
Пюре ягодное,345,45,18,-
Пастила,-,15,-,-
Зефир,-,-,-,34
Дрожжи сухие,-,10,-,-
Желатин,-,15,6,-
Желатин листиками (пластинка),-,-,-,"2,5"
Лимонная кислота,-,-,3,-
Кофе молотый,-,22,8,-
Какао,-,20,"9,5",-
Толченые орехи,120,20,6,-
Арахис,170,22,-,-
Миндаль,165,35,10,-
Фундук,175,35,10,-
Мак,155,15,15,-
Изюм,165,25,-,-
Вино столовое,250,20,5,-
Ликер,-,22,7,-
Уксус,250,15,5,-
Сок фруктовый,250,20,5,-
Томатный сок,250,20,8,-
Томатная паста,240,30,10,-
Томатное пюре,220,25,8,-
Молотый черный перец,-,9,5,-
Молотый красный перец,-,-,5,-
Гвоздика молотая,-,-,3,-
Корень петрушки (средний),-,-,-,85
Корень сельдерея (средний),-,-,-,50
Корица молотая,-,22,9,-
Горчица,-,-,4,-
